component,quantity,comment,link,cost
ESP-32 devkit v1,1pcs.,-,https://shopee.co.th/ESP32-DOIT-ESP32-DEVKIT-V1-ESP-32S-NodeMCU-ESP-WROOM-32-Wi-Fi-and-Bluetooth-Dual-Core-ESP-32-ESP-32S-ESP-32D-i.56846818.6732213287,8usd
INMP441 mic,1pcs.,-,https://www.allnewstep.com/product/4864/inmp441-%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5%E0%B9%84%E0%B8%A1%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B9%82%E0%B8%9F%E0%B8%99%E0%B8%A3%E0%B8%AD%E0%B8%9A%E0%B8%97%E0%B8%B4%E0%B8%A8%E0%B8%97%E0%B8%B2%E0%B8%87-omnidirectional-microphone-module-i2s-interface-mems-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%9A%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B8%82%E0%B8%B2%E0%B9%81%E0%B8%A5%E0%B9%89%E0%B8%A7,1usd
LIPO battery,1pcs.,reccomended 20 000mah,https://shopee.co.th/%E0%B9%81%E0%B8%9A%E0%B8%95%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88-3.7v-20000mAh-size1260110-li-polymer-%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%98%E0%B8%B5%E0%B8%A2%E0%B8%A1%E0%B9%82%E0%B8%9E%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B9%81%E0%B8%9A%E0%B8%95%E0%B8%9E%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%81%E0%B8%9A%E0%B8%87%E0%B8%84%E0%B9%8C-powerbank-baterry-%E0%B8%9B%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%A0%E0%B8%B1%E0%B8%A2%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%B4%E0%B8%94-i.1009206400.42614492692,7usd
TP4056,1pcs.,not include in build (charge lipo externally),https://www.ortech-online.com/product/434/1%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-aa477-%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5%E0%B8%8A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%88%E0%B9%81%E0%B8%9A%E0%B8%95%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88-%E0%B9%81%E0%B8%9A%E0%B8%95%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B9%88%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%98%E0%B8%B5%E0%B8%A2%E0%B8%A1-%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%88%E0%B8%AD-type-c-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%AA-1a-tp4056-tc4056-1a,1usd
MT3608,1pcs.,-,https://www.ortech-online.com/product/199/3%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-aa180-%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5%E0%B9%80%E0%B8%9E%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%94%E0%B8%B1%E0%B8%99%E0%B9%84%E0%B8%9F-%E0%B9%82%E0%B8%A1%E0%B8%94%E0%B8%B9%E0%B8%A5%E0%B9%81%E0%B8%9B%E0%B8%A5%E0%B8%87%E0%B9%84%E0%B8%9F-2-24vdc-%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%99-5-28vdc-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%AA%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-2a-max-dc-dc-step-up-pow,1usd
Female Jumper,30pcs.,gpio,https://www.ortech-online.com/product/344/1%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-aa047-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A7%E0%B8%87%E0%B8%88%E0%B8%A3-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%A1%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%9E-40-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99-%E0%B8%9C%E0%B8%B9%E0%B9%89-%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2-%E0%B8%A2%E0%B8%B2%E0%B8%A7-10cm-male-to-female-jumper-wire-,1usd
Male Jumper,15pcs.,gpio,https://www.ortech-online.com/product/344/1%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-aa047-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%A7%E0%B8%87%E0%B8%88%E0%B8%A3-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B8%A1%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%81%E0%B8%9E-40-%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99-%E0%B8%9C%E0%B8%B9%E0%B9%89-%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2-%E0%B8%A2%E0%B8%B2%E0%B8%A7-10cm-male-to-female-jumper-wire-,50cent
Pin header,5pcs.,2.54mm,https://www.ortech-online.com/product/917/10%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-%E0%B8%81%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%9B%E0%B8%A5%E0%B8%B2-%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%9C%E0%B8%B9%E0%B9%89-%E0%B8%95%E0%B8%A3%E0%B8%87-1x40-pin-2-54mm-single-row-pin-header-male-straight-header-connector-%E0%B8%82%E0%B8%B2%E0%B8%95%E0%B9%88%E0%B8%AD,25cent
Electrical tape,1pcs.,a roll for covering copper wires,any,-
PLA,15g,45min,any,-
